Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Salary
 Digital Media Planner,5 - 10 yrs, Digital Media/ Media Planning,Advertising,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager,3855
 Online Bidding Executive,2 - 5 yrs, requirements/ pre sales/ closing/ technology/ clients/ online bidding/ software knowledge/ client/ negotiating/ good communication,Retail Sales,"Pune,Pune","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,2639
 Trainee Research/ Research Executive- Hi- Tech Operations,0 - 1 yrs, Intellectual property/ Fabrication/ Electronics/ Computer science/ Support services/ Quality check/ Research/ Research Executive/ Management/ Human resource management,R&D,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive,2156
 Software Test Engineer -hyderabad,2 - 5 yrs, web technologies/ manual testing/ web testing/ test engineering/ test cases,Programming & Design,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,5347
 Opening For Adobe Analytics Specialist,5 - 7 yrs, digital marketing/ digital/ adobe/ sitecatalyst/ adobe experience manager/ data analytics/ aem/ adobe analytics,Programming & Design,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,4838
 Sales- Fresher-for Leading Property Consultant,0 - 0 yrs, negotiation/ real estate/ property/ Residential Sales/ channel partners,Retail Sales,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,2585
 Opportunity For Azure Devops Architect For Hyderabad Location,9 - 14 yrs, VSTS/ DynaTrace/ Docker/ TFS/ Git/ Splunk/ AWS/ Azure,Programming & Design,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,3914
 BDE- PUNE,2 - 7 yrs, Bde,Institutional Sales,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,2111
 Technical Support/ Product Support,1 - 5 yrs, application support/ voice based process/ technical support/ communication skills/ semi voice process/ support services/ semi voice,Voice,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),2359
 Workflow Coordinator,2 - 7 yrs, operations/ workflow/ monitoring/ mts/ tat/ email,Operations,"Delhi,Delhi","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,2063
Oracle IDAM, 3 - 7 Years,Oracle IDAM/OIM/OAM,Programming & Design,"Bengaluru,Hyderabad,Kolkata,Chennai","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,3239
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 yrs, sem/ seo/ social media marketing/ digital marketing/ content marketing/ campaign management/ facebook/ google analytics/ email marketing/ media management,Online/Digital Marketing,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,6979
 Wanted Engineering Fresher For MNC Chennai,0 - 1 yrs, fresher/ Engineering/ Mechanical Engineering/ immediate/ Trainee/ instrumentation engineering/ electronics engineering/ electrical engineering/ undergraduate,,Chennai,Other,Other,Other,1513
 Tooling &amp; Sampling,2 - 7 yrs, Help Desk/ Vendor Management/ access controls/ Customer Service/ Asset Management/ customer relationship,Engineering Design,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,6622
 Account Manager,3 - 7 yrs, analytical/ Data Entry/ Analysts/ analytical skills/ procedures/ Report Generation/ Policies,Accounts,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,5324
 Magento Developer,2 - 7 yrs, CSS3/ Facebook/ jQuery/ Open source/ Customer service/ Email/ Javascript/ CakePHP/ XML/ Copyright,Programming & Design,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,6891
